stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
862,3000364,St Barnabas Rd+John Hanson Ln,,38.804836,-76.974243,,
863,3000365,Brinkley Rd+St Ignatius Dr,,38.804859,-76.967438,,
864,3000366,Brinkley Rd+#2505,,38.804909,-76.965401,,
870,5000438,Zion Dr+Jib Ln,,38.80505,-77.297066,,
873,5000439,Parliament Dr+Rolling Rd,,38.805107,-77.252388,,
874,3000368,Oxon Hill Rd+John Hanson Ln,,38.805122,-76.976433,,
875,5000440,Lake Braddock Dr+Lighthouse La,,38.805233,-77.2742,,
876,5000441,Parliament Dr+Victoria Rd,,38.805244,-77.252007,,
879,4000027,N Washington St+King St,,38.805286,-77.046989,,
883,5000443,Lake Braddock Dr+Tripolis Ct,,38.805397,-77.271019,,
884,5000444,Lake Braddock Dr+Bromyard Ct,,38.805408,-77.267204,,
892,5000448,Lake Braddock Dr+Bromyard Ct,,38.805523,-77.267639,,
893,5000449,Lake Braddock Dr+Wallingford Dr,,38.805546,-77.274101,,
895,5000450,Lake Braddock Dr+Tripolis Ct,,38.805573,-77.270493,,
898,5000452,Lake Braddock Dr+Olley Ln,,38.805733000000004,-77.269249,,
905,4000031,S Pickett St+#600,,38.805855,-77.130135,,
906,5000454,Guinea Rd+Burke Rd,,38.805893,-77.281624,,
908,4000032,S Pickett St+#600,,38.805923,-77.130234,,
911,5000456,Lake Braddock Dr+Olley Ln,,38.805973,-77.268379,,
913,5000458,Guinea Rd+Burke Rd,,38.806026,-77.280899,,
914,5000459,Burke Lake Rd+Signal Hill Dr,,38.806034,-77.257454,,
915,5000460,Burke Lake Rd+Signal Hill Dr,,38.806061,-77.257652,,
919,5000461,Parliament Dr+Kings Park Dr,,38.806183,-77.249413,,
920,5000462,Parliament Dr+Parkway Pl,,38.806232,-77.246475,,
922,5000464,Parliament Dr+Victoria Rd,,38.806252,-77.243958,,
924,5000465,Parliament Dr+Kings Park Dr,,38.806259,-77.24881,,
925,5000466,Parliament Dr+Parkway Pl,,38.806282,-77.24601,,
926,5000467,Parliament Dr+Victoria Rd,,38.806297,-77.243248,,
928,5000468,Parliament Dr+Southampton Dr,,38.806366,-77.239944,,
934,5000471,Guinea Rd+Burke Rd,,38.806545,-77.279984,,
935,5000472,Southampton Dr+Parliament Dr,,38.806576,-77.239464,,
940,5000473,Pommeroy Dr+Morley Ct,,38.80677,-77.284714,,
951,5000480,Burke Lake Rd+Rolling Rd,,38.807068,-77.25618,,
953,5000481,Zion Dr+Windsor Hills Dr,,38.80711,-77.299133,,
954,4000043,N Washington St+Queen St,,38.807144,-77.046448,,
957,5000482,Rolling Rd+Burke Lake Rd,,38.807281,-77.254585,,
958,3000369,Indian Head Hwy+I-95,,38.807304,-76.998344,,
960,3000370,Livingston Rd+Comanche Dr,,38.80743,-76.990486,,
961,3000371,Livingston Rd+Comanche Dr,,38.80751,-76.990585,,
962,4000046,Edsall Rd+S Whiting St,,38.80751,-77.135094,,
964,4000048,N Washington St+Queen St,,38.807552,-77.046539,,
965,4000049,Edsall Rd+S Van Dorn St,,38.807564,-77.132675,,
969,4000052,Edsall Rd+S Whiting St,,38.807625,-77.134613,,
970,3000372,Indian Head Hwy+I-95,,38.807518,-76.998756,,
972,4000054,Edsall Rd+Yoakum Pkwy,,38.807693,-77.138588,,
975,3000373,Birchwood Dr+Birchwood Ct,,38.807991,-76.983025,,
976,4000056,Duke St+Alexandria Commons,,38.808022,-77.085983,,
979,4000058,Duke St+Alexandria Commons,,38.808056,-77.085732,,
980,5000483,Zion Dr+#10340,,38.808071,-77.303787,,
983,5000484,Burke Lake Rd+Rolling Rd,,38.80817,-77.25425,,
984,5000485,Southampton Dr+Thames St,,38.808197,-77.239075,,
985,5000486,Rolling Rd+Burke Lake Rd,,38.808197,-77.254974,,
986,5000487,Burke Lake Rd+Rolling Rd,,38.808216,-77.254539,,
990,3000376,Birchwood Dr+Galloway Dr,,38.808262,-76.984543,,
992,3000377,Birchwood Dr+Galloway Dr,,38.808411,-76.984749,,
994,3000378,Birchwood Dr+Fenwood Av,,38.808403,-76.979698,,
995,5000489,Zion Dr+Esabella Ct,,38.808456,-77.305489,,
996,5000490,Pommeroy Dr+Bronte Dr,,38.808521,-77.285049,,
999,5000492,Southampton Dr+Thames St,,38.80864,-77.238976,,
1003,4000066,N Washington St+Princess St,,38.808697,-77.046303,,
1004,3000381,Helmont Dr+Fenwood Av,,38.808712,-76.977669,,
1007,4000068,Yoakum Pkwy+Edsall Rd,,38.808838,-77.139221,,
1008,4000069,S Reynolds St+#375 Brent Place Apt,,38.808887,-77.129715,,
1011,3000383,Birchwood Dr+Livingston Rd,,38.808937,-76.990326,,
1012,3000384,Birchwood Dr+Livingston Rd,,38.809078,-76.990288,,
1014,3000386,Fisher Rd+St Moritz Dr,,38.809063,-76.953247,,
1016,5000494,Guinea Rd+Bronte Dr,,38.809105,-77.27829,,
1017,5000495,Burke Lake Rd+Grantham St,,38.809143,-77.252953,,
1020,5000496,Zion Dr+Sideburn Rd,,38.809235,-77.308823,,
1022,5000497,Burke Lake Rd+Grantham St,,38.809238,-77.253006,,
1023,3000387,Galloway Dr+Colony Rd,,38.809265,-76.984184,,
1025,5000498,Rolling Rd+Fern Park Dr,,38.809341,-77.255943,,
1027,4000074,N Washington St+Oronoco St,,38.809402,-77.045967,,
1029,5000499,Guinea Rd+Bronte Dr,,38.809566,-77.278191,,
1033,3000388,Helmont Dr+Ironton Dr,,38.809689,-76.978218,,
1035,5000500,Southampton Dr+Lancashire Dr,,38.809879,-77.239815,,
1036,5000501,Southampton Dr+Thames St,,38.809879,-77.239922,,
1037,4000079,S Reynolds St+#260 The Summit Apt,,38.810055,-77.128502,,
1038,5000502,Rolling Rd+Braddock Rd,,38.810085,-77.256226,,
1039,3000389,Fisher Rd+Damian Dr,,38.810257,-76.951981,,
1046,4000083,Duke St+S Earley St,,38.810387,-77.098343,,
1048,5000507,Braddock Rd+Kings Park Dr,,38.810448,-77.248413,,
1051,4000084,N Washington St+Pendleton St,,38.810524,-77.045715,,
1053,4000085,S Reynolds St+Mason Apt,,38.810558,-77.128281,,
